列表,业务,云端标注,本地标注,云端&本地结果对比,是否集内,是否800条,业务名,标注结果,标注操作
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_124_M009_coder.wav.pcm,message,帮我给默默发短信,帮我给默默发短信,TRUE,0,是,message,"{
 ""name"":""默默""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_131_M010_coder.wav.pcm,message,我想发个消息,我想发个消息,TRUE,0,是,message,{},SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_138_M010_coder.wav.pcm,message,我想发短信息,我想发短信息,TRUE,0,是,message,{},SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_145_M010_coder.wav.pcm,message,我想要发一条消息,我想要发一条消息,TRUE,0,是,message,{},SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_152_M011_coder.wav.pcm,message,我想要发条消息,我想要发条消息,TRUE,0,是,message,{},SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_159_M011_coder.wav.pcm,message,我想要编辑一条短信,我想要编辑一条短信,TRUE,0,是,message,{},SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_166_M011_coder.wav.pcm,message,我要发个短信,我要发个短信,TRUE,0,是,message,{},SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_173_M011_coder.wav.pcm,message,我要发短消息,我要发短消息,TRUE,0,是,message,{},SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_180_M011_coder.wav.pcm,message,查看已发短信,查看已发短信,TRUE,0,是,message,"{
 ""category"":""sent""
}",VIEW
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_187_F028_coder.wav.pcm,message,短信张武旭,短信张武旭,TRUE,0,是,message,"{
 ""name"":""张武旭""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_194_F028_coder.wav.pcm,-,短信给招行程翠其实黄山也就这么回事,短信给招行程翠其实黄山也就这么回事,TRUE,0,是,message,"{
 ""name"":""招行程翠"",
 ""content"":""其实黄山也就这么回事""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_201_F028_coder.wav.pcm,-,简讯给孔莉还没发工资啊没有钱,简讯给孔莉还没发工资啊没有钱,TRUE,0,是,message,"{
 ""name"":""孔莉"",
 ""content"":""还没发工资啊没有钱""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_208_F028_coder.wav.pcm,-,给何婷婷电信发短消息帮我买张火车票吧,给何婷婷电信发短消息帮我买张火车票吧,TRUE,0,是,message,"{
 ""teleOperator"":""电信"",
 ""name"":""何婷婷"",
 ""content"":""帮我买张火车票吧""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_215_F029_coder.wav.pcm,-,给基友的北京号发个消息,给基友的北京号发个消息,TRUE,0,是,message,"{
 ""name"":""基友"",
 ""location"":{
  ""cityAddr"":""北京"",
  ""city"":""北京市"",
  ""type"":""LOC_BASIC""
 }
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_222_F029_coder.wav.pcm,-,给张杰发条信息过段时间我来看你,给张杰发条信息过段时间我来看你,TRUE,0,是,message,"{
 ""name"":""张杰"",
 ""content"":""过段时间我来看你""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_229_F029_coder.wav.pcm,-,给江俊上海发条信息过段时间我来看你,给江俊上海发条信息过段时间我来看你,TRUE,0,是,message,"{
 ""name"":""江俊"",
 ""location"":{
  ""cityAddr"":""上海"",
  ""city"":""上海市"",
  ""type"":""LOC_BASIC""
 }
 ""content"":""过段时间我来看你""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_236_F029_coder.wav.pcm,message,给洪沂慧短消息,给洪沂慧短消息,TRUE,0,是,message,"{
 ""name"":""洪沂慧""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_243_F030_coder.wav.pcm,message,给绩溪家发信息,给绩溪家发信息,TRUE,0,是,message,"{
 ""name"":""绩溪家""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_250_F030_coder.wav.pcm,-,给胡箐发信息内容是黄山大厦在哪里,给胡箐发信息内容是黄山大厦在哪里,TRUE,0,是,message,"{
 ""name"":""胡箐"",
 ""content"":""黄山大厦在哪里""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_257_F030_coder.wav.pcm,message,给葛运东编写短信,给葛运东编写短信,TRUE,0,是,message,"{
 ""name"":""葛运东""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_264_F030_coder.wav.pcm,-,给辉达胡经理发短信昨晚的我是歌手你看了吗,给辉达胡经理发短信昨晚的我是歌手你看了吗,TRUE,0,是,message,"{
 ""name"":""辉达胡经理"",
 ""content"":""昨晚的我是歌手你看了吗""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_271_M012_coder.wav.pcm,-,给郭辉重庆新短消息今天怎么肚子疼啊,给郭辉重庆新短消息今天怎么肚子疼啊,TRUE,0,是,message,"{
""name"":""郭辉"",
""location"":
{
 ""cityAddr"":""重庆"",
  ""city"":""重庆市"",
  ""type"":""LOC_BASIC""
},
""content"":""今天怎么肚子疼啊""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_278_M012_coder.wav.pcm,message,给黄國慶发个短信,给黄國慶发个短信,TRUE,0,是,message,"{
 ""name"":""黄国庆""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_285_M012_coder.wav.pcm,message,给黄达志编写短信,给黄达志编写短信,TRUE,0,是,message,"{
 ""name"":""黄达志""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\14message\14message_292_M012_coder.wav.pcm,-,编辑短信给皮亚莉的156号码下班一起回家吧,编辑短信给皮亚莉的幺五六号码下班一起回家吧,FALSE,0,是,message,"{
 ""name"":""皮亚莉"",
""headNum"":""156"",
 ""content"":""下班一起回家吧""
}",SEND
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\15microblog\15microblog_006_F023_coder.wav.pcm,microblog,我要微博签到,我要微博签到,TRUE,0,是,weibo,"{
 ""name"":""签到""
}",GOTO
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\15microblog\15microblog_013_F024_coder.wav.pcm,microblog,打开签到,打开签到,TRUE,0,是,weibo,"{
 ""name"":""签到""
}",GOTO
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\15microblog\15microblog_020_F024_coder.wav.pcm,microblog,查看我的微博私信,查看我的微博私信,TRUE,0,是,weibo,"{
 ""name"":""私信""
}",VIEW
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\15microblog\15microblog_027_F025_coder.wav.pcm,microblog,查看评论,查看评论,TRUE,0,是,weibo,"{
 ""name"":""评论""
}",VIEW
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\15microblog\15microblog_034_M007_coder.wav.pcm,microblog,我想发微博今天天气真不错,我想发微博今天天气真不错,TRUE,0,是,weibo,"{
 ""content"":""今天天气真不错""
}",PUBLISH
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\15microblog\15microblog_041_F026_coder.wav.pcm,microblog,我想发微博湖人又输了打了些毛线啊,我想发微博湖人又输了打了些毛线啊,TRUE,0,是,weibo,"{
 ""content"":""湖人又输了打了些毛线啊""
}",PUBLISH
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\15microblog\15microblog_048_F026_coder.wav.pcm,microblog,我想发微博我累个擦好多人啊,我想发微博我累个擦好多人啊,TRUE,0,是,weibo,"{
 ""content"":""我累个擦好多人啊""
}",PUBLISH
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\15microblog\15microblog_055_M008_coder.wav.pcm,microblog,我要发微博泰囧里面的人妖真是比女人还女人啊,我要发微博泰囧里面的人妖真是比女人还女人啊,TRUE,0,是,weibo,"{
 ""content"":""泰囧里面的人妖真是比女人还女人啊""
}",PUBLISH
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\15microblog\15microblog_062_M008_coder.wav.pcm,microblog,我要发微博大企业管理是一个相当复杂的工作,我要发微博大企业管理是一个相当复杂的工作,TRUE,0,是,weibo,"{
 ""content"":""大企业管理是一个相当复杂的工作""
}",PUBLISH
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\15microblog\15microblog_069_M008_coder.wav.pcm,microblog,我要发微博苹果公司有着高贵的气质没办法人家有钱,我要发微博苹果公司有着高贵的气质没办法人家有钱,TRUE,0,是,weibo,"{
 ""content"":""苹果公司有着高贵的气质没办法人家有钱""
}",PUBLISH
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_005_F023_coder.wav.pcm,music,五月天的入阵曲,五月天的入阵曲,TRUE,0,是,music,"{
 ""song"":""入阵曲"",
 ""artist"":""五月天""
}",
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_012_F024_coder.wav.pcm,music,听sd卡里的歌,听sd卡里的歌,TRUE,0,是,music,"{
 ""source"":""sd""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_019_F024_coder.wav.pcm,music,听一首sd卡里的摇篮曲,听一首sd卡里的摇篮曲,TRUE,0,是,music,"{
 ""song"":""摇篮曲"",
 ""source"":""sd""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_026_F025_coder.wav.pcm,music,听一首刘芳的歌,听一首刘芳的歌,TRUE,0,是,music,"{
 ""artist"":""刘芳""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_033_M007_coder.wav.pcm,music,听一首曲婉婷的我的歌声里,听一首曲婉婷的我的歌声里,TRUE,0,是,music,"{
 ""song"":""我的歌声里"",
 ""artist"":""曲婉婷""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_040_M007_coder.wav.pcm,music,听一首爱的主打歌,听一首爱的主打歌,TRUE,0,是,music,"{
 ""song"":""爱的主打歌""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_047_F026_coder.wav.pcm,music,听一首郝云的活着,听一首郝云的活着,TRUE,0,是,music,"{
 ""song"":""活着"",
 ""artist"":""郝云""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_054_M008_coder.wav.pcm,music,听一首飞轮海的歌,听一首飞轮海的歌,TRUE,0,是,music,"{
 ""artist"":""飞轮海""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_061_M008_coder.wav.pcm,music,听几首凤凰传奇的歌,听几首凤凰传奇的歌,TRUE,0,是,music,"{
 ""artist"":""凤凰传奇""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_068_M008_coder.wav.pcm,music,听几首杭娇的歌,听几首杭娇的歌,TRUE,0,是,music,"{
 ""artist"":""杭娇""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_075_M008_coder.wav.pcm,music,听几首陈思涵的歌,听几首陈思涵的歌,TRUE,0,是,music,"{
 ""artist"":""陈思涵""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_082_F027_coder.wav.pcm,music,听听快乐的音乐,听听快乐的音乐,TRUE,0,是,music,"{
 ""category"":""快乐""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_089_F027_coder.wav.pcm,music,听李宗盛的歌,听李宗盛的歌,TRUE,0,是,music,"{
 ""artist"":""李宗盛""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_096_F027_coder.wav.pcm,music,听菲比的歌,听菲比的歌,TRUE,0,是,music,"{
 ""artist"":""菲比""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_103_F027_coder.wav.pcm,music,听音乐,听音乐,TRUE,0,是,music,{},PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_110_F027_coder.wav.pcm,music,屠洪刚的叶问霜天,屠洪刚的叶问霜天,TRUE,0,是,music,"{
 ""song"":""叶问霜天"",
 ""artist"":""屠洪刚""
}",
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_117_M009_coder.wav.pcm,music,帮我找徐良与孙羽幽版的七秒钟的记忆,帮我找徐良与孙羽幽版的七秒钟的记忆,TRUE,0,是,music,"{
 ""song"":""七秒钟的记忆"",
 ""artist"":""孙羽幽""
}",SEARCH
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_124_M009_coder.wav.pcm,music,帮我找黄安版的新鸳鸯蝴蝶梦,帮我找黄安版的新鸳鸯蝴蝶梦,TRUE,0,是,music,"{
 ""song"":""新鸳鸯蝴蝶梦"",
 ""artist"":""黄安""
}",SEARCH
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_131_M010_coder.wav.pcm,music,我想听ipod里的歌,我想听ipod里的歌,TRUE,0,是,music,"{
 ""source"":""iPod""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_138_M010_coder.wav.pcm,music,我想听一下宋冬野的董小姐,我想听一下宋冬野的董小姐,TRUE,0,是,music,"{
 ""song"":""董小姐"",
 ""artist"":""宋冬野""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_145_M010_coder.wav.pcm,music,我想听一下陈慧琳的记事本,我想听一下陈慧琳的记事本,TRUE,0,是,music,"{
 ""song"":""记事本"",
 ""artist"":""陈慧琳""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_152_M011_coder.wav.pcm,music,我想听不是一个人,我想听不是一个人,TRUE,0,是,music,"{
 ""song"":""不是一个人""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_159_M011_coder.wav.pcm,music,我想听千年等一回,我想听千年等一回,TRUE,0,是,music,"{
 ""song"":""千年等一回""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_166_M011_coder.wav.pcm,music,我想听平静的音乐,我想听平静的音乐,TRUE,0,是,music,"{
 ""category"":""平静""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_173_M011_coder.wav.pcm,music,我想听明天你是否依然爱,我想听明天你是否依然爱,TRUE,0,是,music,"{
 ""weakmatch"":""明天你是否依然爱""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_180_M011_coder.wav.pcm,music,我想听杨丞琳唱的勇敢很好,我想听杨丞琳唱的勇敢很好,TRUE,0,是,music,"{
 ""song"":""勇敢很好"",
 ""artist"":""杨丞琳""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_187_F028_coder.wav.pcm,music,我想听欧阳菲菲的感恩的心,我想听欧阳菲菲的感恩的心,TRUE,0,是,music,"{
 ""song"":""感恩的心"",
 ""artist"":""欧阳菲菲""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_194_F028_coder.wav.pcm,music,我想听玖月奇迹唱的中国范儿,我想听玖月奇迹唱的中国范儿,TRUE,0,是,music,"{
 ""song"":""中国范儿"",
 ""artist"":""玖月奇迹""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_201_F028_coder.wav.pcm,music,我想听自由飞翔,我想听自由飞翔,TRUE,0,是,music,"{
 ""song"":""自由飞翔""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_208_F028_coder.wav.pcm,music,我想听费翔唱的冬天里的一把火,我想听费翔唱的冬天里的一把火,TRUE,0,是,music,"{
 ""song"":""冬天里的一把火"",
 ""artist"":""费翔""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_215_F029_coder.wav.pcm,music,我想听陈冠希的歌,我想听陈冠希的歌,TRUE,0,是,music,"{
 ""artist"":""陈冠希""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_222_F029_coder.wav.pcm,music,我想听高枫的歌,我想听高枫的歌,TRUE,0,是,music,"{
 ""artist"":""高枫""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_229_F029_coder.wav.pcm,music,我想要听sd卡里刘德华的歌曲,我想要听sd卡里刘德华的歌曲,TRUE,0,是,music,"{
 ""artist"":""刘德华"",
 ""source"":""sd""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_236_F029_coder.wav.pcm,music,我要听cd,我要听cd,TRUE,0,是,music,"{
 ""source"":""cd""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_243_F030_coder.wav.pcm,music,我要听sd卡里的在水一方,我要听sd卡里的在水一方,TRUE,0,是,music,"{
 ""song"":""在水一方"",
 ""source"":""sd""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_250_F030_coder.wav.pcm,music,我要听u盘里she的中国话,我要听u盘里she的中国话,TRUE,0,是,music,"{
 ""song"":""中国话"",
 ""artist"":""she"",
 ""source"":""u盘""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_257_F030_coder.wav.pcm,music,我要听一下usb里的真心英雄这首歌,我要听一下usb里的真心英雄这首歌,TRUE,0,是,music,"{
 ""song"":""真心英雄"",
 ""source"":""usb""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_264_F030_coder.wav.pcm,music,我要听一下护花使者这首歌,我要听一下护花使者这首歌,TRUE,0,是,music,"{
 ""song"":""护花使者""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_271_F030_coder.wav.pcm,music,我要听三弦的音乐,我要听三弦的音乐,TRUE,0,是,music,"{
 ""category"":""三弦""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_278_F030_coder.wav.pcm,music,我要听冬季到台北来看雨,我要听冬季到台北来看雨,TRUE,0,是,music,"{
 ""song"":""冬季到台北来看雨""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_285_M012_coder.wav.pcm,music,我要听孙楠的歌,我要听孙楠的歌,TRUE,0,是,music,"{
 ""artist"":""孙楠""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_292_M012_coder.wav.pcm,music,我要听戴爱玲的歌,我要听戴爱玲的歌,TRUE,0,是,music,"{
 ""artist"":""戴爱玲""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_299_M012_coder.wav.pcm,music,我要听武艺的舍不得忘记,我要听武艺的舍不得忘记,TRUE,0,是,music,"{
 ""song"":""舍不得忘记"",
 ""artist"":""武艺""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_306_M012_coder.wav.pcm,music,我要听王菲与陈奕迅的因为爱情,我要听王菲与陈奕迅的因为爱情,TRUE,0,是,music,"{
 ""song"":""因为爱情"",
 ""artist"":""陈奕迅""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_313_M012_coder.wav.pcm,music,我要听许诺的离开这个地方,我要听许诺的离开这个地方,TRUE,0,是,music,"{
 ""song"":""离开这个地方"",
 ""artist"":""许诺""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_320_M012_coder.wav.pcm,music,我要听高山流水,我要听高山流水,TRUE,0,是,music,"{
 ""song"":""高山流水""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_327_M012_coder.wav.pcm,music,播放cd里的一场游戏一场梦,播放cd里的一场游戏一场梦,TRUE,0,是,music,"{
 ""song"":""一场游戏一场梦"",
 ""source"":""cd""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_334_F031_coder.wav.pcm,music,播放伤感调频的音乐,播放伤感调频的音乐,TRUE,0,是,music,"{
 ""category"":""伤感""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_341_F031_coder.wav.pcm,music,播放工作的音乐,播放工作的音乐,TRUE,0,是,music,"{
 ""category"":""工作""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_348_F031_coder.wav.pcm,music,播放日韩的音乐,播放日韩的音乐,TRUE,0,是,music,"{
 ""category"":""日韩""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_355_F031_coder.wav.pcm,music,播放爱你,播放爱你,TRUE,0,是,music,"{
 ""song"":""爱你""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_362_F031_coder.wav.pcm,music,播放莫文蔚和张洪量的广岛之恋,播放莫文蔚和张洪量的广岛之恋,TRUE,0,是,music,"{
 ""song"":""广岛之恋"",
 ""artist"":""张洪量""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_369_F031_coder.wav.pcm,music,放一些扎木聂的音乐,放一些扎木聂的音乐,TRUE,0,是,music,"{
 ""category"":""扎木聂""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_376_F031_coder.wav.pcm,music,放几首二胡的音乐,放几首二胡的音乐,TRUE,0,是,music,"{
 ""category"":""二胡""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_383_F031_coder.wav.pcm,music,放几首鼓的音乐,放几首鼓的音乐,TRUE,0,是,music,"{
 ""category"":""鼓""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_390_F031_coder.wav.pcm,music,有声音特效的音乐吗,有声音特效的音乐吗,TRUE,0,是,music,"{
 ""category"":""声音特效""
}",SEARCH
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_397_F031_coder.wav.pcm,music,来一首u盘里的希望,来一首u盘里的希望,TRUE,0,是,music,"{
 ""song"":""希望"",
 ""source"":""u盘""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_404_F031_coder.wav.pcm,music,来一首唱的是寂寞,来一首唱的是寂寞,TRUE,0,是,music,"{
 ""song"":""唱的是寂寞""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_411_F031_coder.wav.pcm,music,来一首沙宝亮的暗香,来一首沙宝亮的暗香,TRUE,0,是,music,"{
 ""song"":""暗香"",
 ""artist"":""沙宝亮""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_418_F031_coder.wav.pcm,music,来一首罗中旭的如果你不再爱了,来一首罗中旭的如果你不再爱了,TRUE,0,是,music,"{
 ""song"":""如果你不再爱了"",
 ""artist"":""罗中旭""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_425_F031_coder.wav.pcm,music,来几首冯玮君的歌,来几首冯玮君的歌,TRUE,0,是,music,"{
 ""artist"":""冯玮君""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_432_F031_coder.wav.pcm,music,来几首张镐哲的歌,来几首张镐哲的歌,TRUE,0,是,music,"{
 ""artist"":""张镐哲""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_439_F031_coder.wav.pcm,music,来几首英语的音乐,来几首英语的音乐,TRUE,0,是,music,"{
 ""category"":""英语""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_446_F031_coder.wav.pcm,music,来首cd里的小小小孩,来首cd里的小小小孩,TRUE,0,是,music,"{
 ""song"":""小小小孩"",
 ""source"":""cd""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_453_F031_coder.wav.pcm,music,来首半梦半醒,来首半梦半醒,TRUE,0,是,music,"{
 ""song"":""半梦半醒""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_460_F031_coder.wav.pcm,music,来首庞龙的兄弟抱一下,来首庞龙的兄弟抱一下,TRUE,0,是,music,"{
 ""song"":""兄弟抱一下"",
 ""artist"":""庞龙""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_467_F031_coder.wav.pcm,music,来首祝你一路顺风,来首祝你一路顺风,TRUE,0,是,music,"{
 ""song"":""祝你一路顺风""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_474_F031_coder.wav.pcm,music,杨钰莹与毛宁的心雨放给我听一下,杨钰莹与毛宁的心雨放给我听一下,TRUE,0,是,music,"{
 ""song"":""心雨"",
 ""artist"":""毛宁""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_481_F031_coder.wav.pcm,music,点播ipod里的歌,点播ipod里的歌,TRUE,0,是,music,"{
 ""source"":""iPod""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_488_F031_coder.wav.pcm,music,点播光辉岁月,点播光辉岁月,TRUE,0,是,music,"{
 ""song"":""光辉岁月""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_495_F031_coder.wav.pcm,music,点播放手的勇气,点播放手的勇气,TRUE,0,是,music,"{
 ""song"":""放手的勇气""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_502_F031_coder.wav.pcm,music,点播爱一回伤一回,点播爱一回伤一回,TRUE,0,是,music,"{
 ""song"":""爱一回伤一回""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_509_F031_coder.wav.pcm,music,点播陈瑞的歌,点播陈瑞的歌,TRUE,0,是,music,"{
 ""artist"":""陈瑞""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_516_F031_coder.wav.pcm,music,谢容儿的寂寞能放给我听一下吗,谢容儿的寂寞能放给我听一下吗,TRUE,0,是,music,"{
 ""song"":""寂寞"",
 ""artist"":""谢容儿""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_523_F031_coder.wav.pcm,music,高进的歌,高进的歌,TRUE,0,是,music,"{
 ""artist"":""高进""
}",
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_530_F031_coder.wav.pcm,music,把那首你快乐所以我快乐播放一下,把那首你快乐所以我快乐播放一下,TRUE,0,是,music,"{
 ""song"":""你快乐所以我快乐""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_537_F031_coder.wav.pcm,music,把那首我被青春撞了一下腰播放一下,把那首我被青春撞了一下腰播放一下,TRUE,0,是,music,"{
 ""song"":""我被青春撞了一下腰""
}",PLAY
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\16music\16music_544_F031_coder.wav.pcm,music,黄品源的歌,黄品源的歌,TRUE,0,是,music,"{
 ""artist"":""黄品源""
}",
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\17news\17news_007_F023_coder.wav.pcm,news,圣诞节的新闻,圣诞节的新闻,TRUE,0,是,news,"{
 ""datetime"":{
  ""date"":""2015-12-25"",
  ""dateOrig"":""圣诞节"",
  ""type"":""DT_BASIC""
 }
}",
