用户说法,user_data
开始导航,"{""UserData"":{""serialNo"":""M1AT020102000007_2017060114433015"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""平遥县"",""lat"":""37.18926662"",""tel"":"""",""area"":""晋中市平遥县"",""lng"":""112.1755926""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|阜南县人民医院|阜阳市三塔路18号|阜南县人民医院东门|阜阳市阜南县|阜南县人民医院东2门|阜南县人民法院|阜阳市地城北路55号""},""dataInfo"":{""end_poi"":{""poi"":""阜南县人民医院"",""lat"":""32.643958"",""tel"":"""",""area"":""阜阳市阜南县"",""lng"":""115.587500""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""阜南县人民医院"",""阜阳市三塔路18号"",""阜南县人民医院东门"",""阜阳市阜南县"",""阜南县人民医院东2门"",""阜南县人民法院"",""阜阳市地城北路55号""]}"
前往巴东旭东商务酒店,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144334355"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""平遥县"",""lat"":""37.18926662"",""tel"":"""",""area"":""晋中市平遥县"",""lng"":""112.1755926""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""阜南县人民医院"",""lat"":""32.643958"",""tel"":"""",""area"":""阜阳市阜南县"",""lng"":""115.587500""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""缩小图面"",""放大图面"",""仅供测试""]}"
去瑞心东旭商务酒店,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144337973"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""平遥县"",""lat"":""37.18926662"",""tel"":"""",""area"":""晋中市平遥县"",""lng"":""112.1755926""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|温州锐思特汽车连锁酒店西站店|鹿城区鹿城路139号旅游集散中心对面|详情下拉图片|温州伯特利商务宾馆|鹿城区鹿城路229号|温州众豪连锁酒店水心店|马鞍池西路308号|速8酒店温州将军桥店|鹿城区将军桥路19号|温州皇都宾馆|雪山路勤奋小区3号楼""},""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""温州锐思特汽车连锁酒店西站店"",""鹿城区鹿城路139号旅游集散中心对面"",""详情下拉图片"",""温州伯特利商务宾馆"",""鹿城区鹿城路229号"",""温州众豪连锁酒店水心店"",""马鞍池西路308号"",""速8酒店温州将军桥店"",""鹿城区将军桥路19号"",""温州皇都宾馆"",""雪山路勤奋小区3号楼""]}"
走最近的路线,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144341578"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""平遥县"",""lat"":""37.18926662"",""tel"":"""",""area"":""晋中市平遥县"",""lng"":""112.1755926""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|温州锐思特汽车连锁酒店西站店|鹿城区鹿城路139号旅游集散中心对面|详情下拉图片|温州伯特利商务宾馆|鹿城区鹿城路229号|温州众豪连锁酒店水心店|马鞍池西路308号|速8酒店温州将军桥店|鹿城区将军桥路19号|温州皇都宾馆|雪山路勤奋小区3号楼""},""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""温州锐思特汽车连锁酒店西站店"",""鹿城区鹿城路139号旅游集散中心对面"",""详情下拉图片"",""温州伯特利商务宾馆"",""鹿城区鹿城路229号"",""温州众豪连锁酒店水心店"",""马鞍池西路308号"",""速8酒店温州将军桥店"",""鹿城区将军桥路19号"",""温州皇都宾馆"",""雪山路勤奋小区3号楼""]}"
导航,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144344825"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""平遥县"",""lat"":""37.18926662"",""tel"":"""",""area"":""晋中市平遥县"",""lng"":""112.1755926""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|温州锐思特汽车连锁酒店西站店|距离450|地址鹿城区鹿城路139号旅游集散中心对面""},""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""温州锐思特汽车连锁酒店西站店"",""距离450"",""地址鹿城区鹿城路139号旅游集散中心对面""]}"
我想去虹桥火车站,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144348238"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|加载中""},""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""加载中""]}"
那就去上海虹桥火车站-西广场,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144351744"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|上海虹桥站|上海城区申昆路1500号|上海虹桥站北9出发|上海城区闵行区|上海虹桥站南6出发|上海虹桥站北7出发|上海虹桥站北1出发""},""dataInfo"":{""end_poi"":{""poi"":""上海虹桥站"",""lat"":""31.194271"",""tel"":"""",""area"":""上海城区闵行区"",""lng"":""121.320764""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""上海虹桥站"",""上海城区申昆路1500号"",""上海虹桥站北9出发"",""上海城区闵行区"",""上海虹桥站南6出发"",""上海虹桥站北7出发"",""上海虹桥站北1出发""]}"
搜索西广场附近的酒店,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144355736"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|赛百味上海虹桥火车站店|上海城区虹桥站129|东方既白上海虹桥火车站店|上海城区虹桥站11516|99旅馆上海虹桥火车站店|上海城区北翟路1551号|7天酒店阳光上海虹桥火车站店|上海城区申长北路186号爱博六村东门对面天地城边|易佰连锁旅店上海虹桥火车站店|上海城区梅富路358号""},""dataInfo"":{""end_poi"":{""poi"":""赛百味(上海虹桥火车站店)"",""lat"":""31.193542"",""tel"":"""",""area"":""上海城区闵行区"",""lng"":""121.319340""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""赛百味上海虹桥火车站店"",""上海城区虹桥站129"",""东方既白上海虹桥火车站店"",""上海城区虹桥站11516"",""99旅馆上海虹桥火车站店"",""上海城区北翟路1551号"",""7天酒店阳光上海虹桥火车站店"",""上海城区申长北路186号爱博六村东门对面天地城边"",""易佰连锁旅店上海虹桥火车站店"",""上海城区梅富路358号""]}"
导航去价格最低的那家,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144359720"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|莫泰168旅店中春路店|上海城区沪星路399号|锦江之星旅馆沪青平公路二店|上海城区沪星路289弄32号顺恒广场|如家快捷酒店上海虹桥机场国家会展中心七宝店|上海城区吴中路2708号|8酒店上海七宝店|上海城区吴宝路7号|海友酒店沪亭北路|上海城区沪亭北路598""},""dataInfo"":{""end_poi"":{""poi"":""莫泰168旅店(中春路店)"",""lat"":""31.162535"",""tel"":"""",""area"":""上海城区闵行区"",""lng"":""121.333542""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""莫泰168旅店中春路店"",""上海城区沪星路399号"",""锦江之星旅馆沪青平公路二店"",""上海城区沪星路289弄32号顺恒广场"",""如家快捷酒店上海虹桥机场国家会展中心七宝店"",""上海城区吴中路2708号"",""8酒店上海七宝店"",""上海城区吴宝路7号"",""海友酒店沪亭北路"",""上海城区沪亭北路598""]}"
导航开始吧,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144403312"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|那家铺子|上海城区成山路1528号2层|那家宠物店|上海城区西营路129|那家店精品屋|上海城区康桥镇川周公路2908号|那家灶咖腾冲路|上海城区普洱路128弄6365|那家灶咖罗锦路|上海城区罗锦路695""},""dataInfo"":{""end_poi"":{""poi"":""那家铺子"",""lat"":""31.176458"",""tel"":"""",""area"":""上海城区浦东新区"",""lng"":""121.527674""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""那家铺子"",""上海城区成山路1528号2层"",""那家宠物店"",""上海城区西营路129"",""那家店精品屋"",""上海城区康桥镇川周公路2908号"",""那家灶咖腾冲路"",""上海城区普洱路128弄6365"",""那家灶咖罗锦路"",""上海城区罗锦路695""]}"
导航到盘锦市火车站,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144406521"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|拥堵较少|8小时42分钟|730公里|红绿灯18个|收费390元|时间最短|8小时38分钟|744公里|开始导航|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""那家铺子"",""lat"":""31.176458"",""tel"":"""",""area"":""上海城区浦东新区"",""lng"":""121.527674""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""拥堵较少"",""8小时42分钟"",""730公里"",""红绿灯18个"",""收费390元"",""时间最短"",""8小时38分钟"",""744公里"",""开始导航"",""缩小图面"",""放大图面"",""仅供测试""]}"
选择盘锦市环境保护监测站,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144409868"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|盘锦站|盘锦市双兴北路|盘锦北站|盘锦市孙家村379号|盘锦北站出站口|盘锦市甜水乡孙家村盘锦北站""},""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""盘锦站"",""盘锦市双兴北路"",""盘锦北站"",""盘锦市孙家村379号"",""盘锦北站出站口"",""盘锦市甜水乡孙家村盘锦北站""]}"
走最近的路线,"{""UserData"":{""serialNo"":""M1AT020102000007_2017060114441393"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|盘锦站|盘锦市双兴北路|盘锦北站|盘锦市孙家村379号|盘锦北站出站口|盘锦市甜水乡孙家村盘锦北站""},""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""盘锦站"",""盘锦市双兴北路"",""盘锦北站"",""盘锦市孙家村379号"",""盘锦北站出站口"",""盘锦市甜水乡孙家村盘锦北站""]}"
可以导航了,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144416427"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""温州锐思特汽车连锁酒店(西站店)"",""lat"":""28.00797607"",""tel"":""0577-56858888"",""area"":"""",""lng"":""120.6459224""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|盘锦站|距离1111|地址盘锦市双兴北路""},""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""盘锦站"",""距离1111"",""地址盘锦市双兴北路""]}"
带我去乳山市幸福小区,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144419751"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""缩小图面"",""放大图面"",""仅供测试""]}"
就是幸福花园小区,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144422988"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|时间最短|16小时17分钟|1449公里|红绿灯13个|收费675元|收费较少|18小时6分钟|1364公里|方案3|16小时48分钟|1499公里|开始导航|设置车牌避开徐州市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""时间最短"",""16小时17分钟"",""1449公里"",""红绿灯13个"",""收费675元"",""收费较少"",""18小时6分钟"",""1364公里"",""方案3"",""16小时48分钟"",""1499公里"",""开始导航"",""设置车牌避开徐州市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
搜索幸福花园小区附近的景点,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144426389"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|时间最短|16小时17分钟|1449公里|红绿灯13个|收费675元|收费较少|18小时6分钟|1364公里|方案3|16小时48分钟|1499公里|开始导航|设置车牌避开徐州市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""时间最短"",""16小时17分钟"",""1449公里"",""红绿灯13个"",""收费675元"",""收费较少"",""18小时6分钟"",""1364公里"",""方案3"",""16小时48分钟"",""1499公里"",""开始导航"",""设置车牌避开徐州市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
到不要门票的,"{""UserData"":{""serialNo"":""M1AT020102000007_201706011444298"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|从化市革命烈士纪念碑|广州市从化区|基督教从化堂|广州市东城路|圆通寺东北门|圆通寺七星路|官福吴公祠""},""dataInfo"":{""end_poi"":{""poi"":""从化市革命烈士纪念碑"",""lat"":""23.551597"",""tel"":"""",""area"":""广州市从化区"",""lng"":""113.587604""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""从化市革命烈士纪念碑"",""广州市从化区"",""基督教从化堂"",""广州市东城路"",""圆通寺东北门"",""圆通寺七星路"",""官福吴公祠""]}"
开始导航,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144433219"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|从化市革命烈士纪念碑|广州市从化区|基督教从化堂|广州市东城路|圆通寺东北门|圆通寺七星路|官福吴公祠""},""dataInfo"":{""end_poi"":{""poi"":""从化市革命烈士纪念碑"",""lat"":""23.551597"",""tel"":"""",""area"":""广州市从化区"",""lng"":""113.587604""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""从化市革命烈士纪念碑"",""广州市从化区"",""基督教从化堂"",""广州市东城路"",""圆通寺东北门"",""圆通寺七星路"",""官福吴公祠""]}"
我要去江浦路,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144436512"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|时间最短|16小时17分钟|1449公里|红绿灯13个|收费675元|收费较少|18小时6分钟|1364公里|方案3|16小时48分钟|1499公里|开始导航|设置车牌避开徐州市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""从化市革命烈士纪念碑"",""lat"":""23.551597"",""tel"":"""",""area"":""广州市从化区"",""lng"":""113.587604""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""时间最短"",""16小时17分钟"",""1449公里"",""红绿灯13个"",""收费675元"",""收费较少"",""18小时6分钟"",""1364公里"",""方案3"",""16小时48分钟"",""1499公里"",""开始导航"",""设置车牌避开徐州市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
就是江浦路1108的星洲湾足道,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144439863"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|时间最短|16小时17分钟|1449公里|红绿灯13个|收费675元|收费较少|18小时6分钟|1364公里|方案3|16小时48分钟|1499公里|开始导航|设置车牌避开徐州市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""从化市革命烈士纪念碑"",""lat"":""23.551597"",""tel"":"""",""area"":""广州市从化区"",""lng"":""113.587604""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""时间最短"",""16小时17分钟"",""1449公里"",""红绿灯13个"",""收费675元"",""收费较少"",""18小时6分钟"",""1364公里"",""方案3"",""16小时48分钟"",""1499公里"",""开始导航"",""设置车牌避开徐州市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
走最近的线路呀,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144443145"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|星洲湾足道|距离66|地址上海城区江浦路1106""},""dataInfo"":{""end_poi"":{""poi"":""星洲湾足道"",""lat"":""31.268056"",""tel"":"""",""area"":""上海城区杨浦区"",""lng"":""121.521458""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""星洲湾足道"",""距离66"",""地址上海城区江浦路1106""]}"
导航,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601144446501"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""盘锦站"",""lat"":""41.197847"",""tel"":"""",""area"":""盘锦市双台子区"",""lng"":""122.062222""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|星洲湾足道|距离66|地址上海城区江浦路1106""},""dataInfo"":{""end_poi"":{""poi"":""星洲湾足道"",""lat"":""31.268056"",""tel"":"""",""area"":""上海城区杨浦区"",""lng"":""121.521458""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""星洲湾足道"",""距离66"",""地址上海城区江浦路1106""]}"
